N,activation,batch_size,decay_rate,decay_step,device,dropout,env_type,epochs,learning_rate,model_path,opt,point_cloud,samples,start_epoch,weight_decay,with_start,world_size,timestamp
10,relu,256,0.5,20,0,0.5,2d,15000,0.1,./models/,Adagrad,False,10000,0,False,20.0,24_023240,
10,relu,256,0.5,20,0,0.2,2d,15000,0.1,./models/,Adagrad,True,20000,0,0.0001,False,20.0,25_140420
10,relu,256,0.5,20,0,0.4,2d,15000,0.9,./models/,Adagrad,False,10000,0,0.0001,False,20.0,24_023848
10,relu,2048,0.5,20,0,0.5,2d,15000,0.01,./models/,Adagrad,True,350000,0,False,20.0,24_013209,
10,relu,256,0.5,20,0,0.2,2d,15000,0.1,./models/,Adagrad,True,20000,0,0.0001,False,20.0,25_135151
10,relu,256,0.5,20,0,0.3,2d,55000,0.1,./models/,Adagrad,False,350000,0,0.0001,False,20.0,24_025436
10,relu,2048,0.5,20,0,0.0,2d,15000,0.01,./models/,Adagrad,True,200000,0,0.0001,False,20.0,25_130624
10,relu,2048,0.5,20,0,0.6,2d,15000,0.1,./models/,Adagrad,False,10000,0,False,20.0,24_020147,
10,relu,2048,0.5,20,0,0.0,2d,15000,0.1,./models/,Adagrad,True,50000,0,0.0001,False,20.0,25_094330
10,relu,256,0.5,20,0,0.3,2d,15000,0.1,./models/,Adagrad,False,10000,0,False,20.0,24_015211,
10,relu,4096,0.5,20,0,0.2,2d,15000,0.01,./models/,Adagrad,True,200000,0,0.0001,False,20.0,25_133701
10,relu,2048,0.5,20,0,0.5,2d,15000,0.01,./models/,Adagrad,False,350000,0,False,20.0,24_012849,
10,relu,2048,0.5,20,0,0.0,2d,15000,0.1,./models/,Adagrad,True,50000,0,0.0001,False,20.0,25_093931
10,relu,2048,0.5,20,0,0.0,2d,15000,0.1,./models/,Adagrad,True,70000,0,0.0001,False,20.0,25_122634
10,relu,2048,0.5,20,0,0.0,2d,15000,0.01,./models/,Adagrad,True,70000,0,0.0001,False,20.0,25_122843
10,relu,256,0.5,20,0,0.0,2d,15000,0.01,./models/,Adagrad,True,5000,0,0.0001,False,20.0,25_124157
